[09/29/2014 16:53:39] Times: 4, DT: 41, Count: 192, Time: 9381, TPS: 20.4669011832427
[09/29/2014 16:53:40] Times: 8, DT: 31, Count: 214, Time: 10471, TPS: 20.4373985292713
[09/29/2014 16:53:44] Times: 4, DT: 25, Count: 293, Time: 14403, TPS: 20.3429841005346
[09/29/2014 18:35:33] Times: 5, DT: 9, Count: 45, Time: 2209, TPS: 20.3712086917157
[09/29/2014 18:35:41] Times: 7, DT: 29, Count: 208, Time: 10379, TPS: 20.0404663262357
[09/29/2014 18:36:41] Times: 5, DT: 14, Count: 1410, Time: 70456, TPS: 20.0124900647212
[09/29/2014 18:39:41] Times: 4, DT: 34, Count: 5014, Time: 250654, TPS: 20.0036703982382
[09/29/2014 18:40:41] Times: 4, DT: 1, Count: 6216, Time: 310712, TPS: 20.0056644094853
[09/30/2014 17:06:52] Times: 10, DT: 45, Count: 211, Time: 10545, TPS: 20.0094831673779
[10/03/2014 13:40:13] Times: 9, DT: 48, Count: 210, Time: 10495, TPS: 20.0095283468318
[10/03/2014 13:40:23] Times: 6, DT: 32, Count: 404, Time: 20179, TPS: 20.0208137172308
[10/03/2014 13:47:14] Times: 4, DT: 36, Count: 8631, Time: 431436, TPS: 20.0052846772175
[10/03/2014 16:12:18] Times: 4, DT: 17, Count: 5, Time: 217, TPS: 23.0414746543779
[10/03/2014 16:12:27] Times: 15, DT: 32, Count: 198, Time: 9876, TPS: 20.048602673147
[10/03/2014 16:12:28] Times: 19, DT: 0, Count: 220, Time: 10944, TPS: 20.1023391812865
[10/03/2014 16:12:55] Times: 11, DT: 7, Count: 746, Time: 37238, TPS: 20.0332993179011
[10/03/2014 16:12:56] Times: 7, DT: 31, Count: 779, Time: 38912, TPS: 20.01953125
[10/03/2014 16:14:12] Times: 7, DT: 37, Count: 2281, Time: 114018, TPS: 20.0056131488011
[10/03/2014 16:14:28] Times: 4, DT: 4, Count: 2612, Time: 130536, TPS: 20.0098057240914
[10/03/2014 16:18:21] Times: 4, DT: 36, Count: 7280, Time: 363970, TPS: 20.0016484875127
[10/03/2014 16:18:29] Times: 13, DT: 1, Count: 7433, Time: 371585, TPS: 20.0034985265821
[10/03/2014 16:21:29] Times: 5, DT: 38, Count: 11036, Time: 551774, TPS: 20.0009424148293
[10/03/2014 16:31:31] Times: 5, DT: 34, Count: 23069, Time: 1153429, TPS: 20.0003641316457
